David Copperfield	Dávid Copperfield
Nhưng về sau ông ta nói: quả là bà ấy cố tình làm ông ta phát rồ lên.	Valósággal arra számított néném, hogy ráijeszt, mesélte később Chillip úr.
Ông đành đi ra, ngồi ở bậc thang, trong bóng tối, giữa ngọn gió lùa, cho đến khi người ta mời ông lên.	Inkább kiment hát a szobából s leült a lépcsőn, a hol sötét volt és erős léghuzam, a míg ujra hivatták.
Ham Pécgôti người đã theo học ở trường quốc lập và là học sinh xuất sắc về môn giáo lý, cho nên có thể xem là một nhân chứng đáng tin cậy, hôm sau có kể lại: sau đó một giờ, anh vô tình nhòm qua cửa phòng khách thì bị Cô Bétxi đang đi đi lại lại rất bồn chồn bắt gặp, cô ta đã vồ lấy anh không để anh kịp trốn chạy - Lúc ấy trên gác thỉnh thoảng lại có tiếng bước chân và tiếng nói, mà anh chắc đã lọt vào tai cô dù tai cô nút bông.	Peggotty Ham, a ki a községi iskolába járt, szörnyű buzgósággal bújta a katekizmusát s már ezért is szavahihető tanunak tekinthető, másnap azt mesélte, hogy mikor egy órával később véletlenül bekukucskált a kis nappali ajtaján, Miss Betsey, a ki izgatottan föl s alá járt a szobában, azonnal észrevette és nyakon csípte, mielőtt elmenekülhetett volna.
Cô lắc cổ anh, xoa tóc rối bù, vò nát áo anh, bịt tai anh lại hình như cô đã lầm tai anh là tai cô, và xô đẩy, hành hạ anh đủ cách.	Majd galléron ragadva, (mintha sok ópiumot vett volna be), folytonosan föl s alá sétáltatta, közbe-közbe meg-megrázta, haját tépte, összegyűrte az ingét, betömte vattával a fülét, mintha összecserélte volna a saját fülével, s minden elképzelhető módon gyötörte és kínozta.
Điều này một phần lại được chị Pécgôti xác nhận, chị thấy anh khi mười hai giờ rưỡi đêm ngay sau khi thoát nạn, và đã khẳng định rằng khi ấy trông anh cũng đỏ hon hỏn như tôi vậy.	Mind ezt megerősítette Hamnek a nénje is, a ki fél tizenkettőkor látta a fiút, mindjárt azután, hogy megszabadúlt, és azt állította, hogy Ham akkor éppen olyan vörös volt, mint én.
"Thưa bà, tôi sung sướng được chúc mừng bà."	– Nos, nagyságos asszonyom, boldog vagyok, hogy gratulálhatok.
Ông Silíp lại luống cuống trước thái độ quá nghiêm khắc của cô tôi cho nên ông khẽ cúi chào và nhích mép cười với cô để xoa dịu.	Chillip urat ujra zavarba hozta nagynénémnek szokatlanúl szigorú modora; meghajolt hát egy kissé előtte és szerényen mosolygott is, hogy megbékítse.
Cô tôi sốt ruột kêu lên.	– Az Isten áldja meg, mit csinál!
"Rõ khổ cho cái ông này!	– kiáltott nagynéném türelmetlenül.
Thưa bà, không có gì đáng ngại nữa.	– Nincs többé a legcsekélyebb okunk sem az aggodalomra, nagyságos asszonyom!
Xin bà bình tĩnh".	Csillapodjék.
Cho đến nay, người ta vẫn thấy quả thật sao cô tôi lại không túm lấy ông mà lắc, và khi cái điều ông muốn nói phải bật ra.	Azóta szinte csodának tekintették, hogy nagynéném jól meg nem rázta az orvost és ki nem rázta belőle a mondanivalóját.
Cô nhìn ông, nhưng cách nhìn này cũng đủ làm bẩy.	Csak a saját fejét rázta feléje, de úgy, hogy az orvos remegni kezdett.
Thưa bà, công việc đã xong xuôi, và mẹ tròn con vuông ạ."	Átestünk mindenen, nagyságos asszonyom, még pedig szerencsésen.
Trong khoảng trên dưới năm phút đồng hồ ông Silíp ậm à ậm ừ nói được câu đó, thì cô tôi cứ nhìn ông chằm chằm.	Az alatt az öt vagy hány percz alatt, a melyet Chillip úr e beszéd elmondására szentelt, nagynéném merően a szeme közé bámult.
"Con bé có khỏe không?"	– Hogy’ van a beteg?
Ông Silíp nghiêng nghiêng thêm cái đầu về một bên cô, trông giống như con chim ngoan ngoãn.	Az ellen sem lehet kifogásom, hogy akár azonnal meglátogassa őt, nagyságos asszonyom.
Ông Silíp trả lời:	Hogy’ van a kis lány?
"Thưa bà, tôi tưởng bà đã biết rồi: cháu giai đấy ạ!"	– kérdezte nagynéném élesen.
Cô tôi chẳng nói chẳng rằng, cầm lấy mũ dương quai mũ về phía ông Silíp như người bắn súng cao su; rồi đội chụp cái mũ dúm đó lên đầu, bước ra và không bao giờ trở lại.	Chillip úr egy kissé még jobban oldalt lógatta a fejét s úgy nézett nagynénémre, mint valami kedves kis madárka.
Vâng, không bao giờ nữa!	– A kis baba, – szólt nagynéném.
Trong bản dịch này bạn Vũ Phan có dịch sáu chương, chúng tôi đã xem lại cẩn thận để cho thống nhất về văn với toàn bộ tiểu thuyết (N.T)	A nagynéném egy szót se szólt többet, hanem a kötőszalagoknál fogva fölkapta a kalapját, mintha parittya lett volna, Chillip úr feje felé sújtott vele, azután föltette a saját fejére, kiment a szobából és soha többé nem tért vissza.
Chương II	MÁSODIK FEJEZET.
TÔI QUAN SÁT	Megfigyelek.
Tôi có cảm tưởng rằng tôi có thể nhớ hai người đứng cách nhau một quãng ngắn, tôi thấy họ nhỏ lại vì đang cúi mình hoặc quỳ trên sàn, còn tôi thì đang chập chững bước từ người này đến người kia.	Azt hiszem, vissza tudok emlékezni rá, mikép törpül el szemem láttára ez a két alak, a mint egymástól csekély távolságra leguggol vagy letérdel a padlóra, s én ingadozva döczögök egyiktől a másikig.
Trong trí óc tôi vẫn còn một cảm giác (mà tôi không thể nào phân biệt được với một ký ức xác thực) về ngón tay trỏ chị Pécgôti khi chìa nó ra cho tôi nắm: ngón tay bị công việc may vá làm cho nó ram ráp giống như cái bàn mài bỏ túi dùng để mài hột đậu khấu.	Érzem – és érzésemet nem is tudom megkülönböztetni a tulajdonképpeni emlékezéstől, – hogy hozzám ér Peggottynak a mutatóujja, úgy, a mint felém szokta nyújtani, s a sok varrástól oly érdes, mint a zsebbevaló szerecsendió-reszelő.
Điều này có thể là do tôi tưởng tượng ra cũng nên, mặc dầu tôi tin rằng trí nhớ phần đông chúng ta có thể nhớ được những thời xa xôi hơn là người ta vẫn tưởng, cũng như tôi cho rằng có trẻ em có biệt tài kỳ lạ về năng lực quan sát chính xác và tinh tế.	Lehet, hogy csak képzelődöm; bár azt hiszem, hogy a legtöbben nem is sejtjük, mily messzire vissza tud nyúlni emlékezésünk, kora gyermekségünk idejébe; valaminthogy hiszem azt is, hogy a legtöbb igen fiatal gyermeknek szinte csodálatosan éles és pontos a megfigyelő képessége.
Thực tế, tôi cho rằng phần nhiều những người lớn giỏi về mặt này, chẳng qua chỉ là đã không bỏ mất năng khiếu ấy, chứ không phải là đã nhờ tập dượt mà có được.	Erős meggyőződésem, hogy közelebb járunk az igazsághoz, ha azt állítjuk, hogy a legtöbb felnőtt ember, a ki e tekintetben kiválik, sohasem vesztette el ezt a képességét, mint ha azt hisszük, hogy csak később tett szert reá.
Hơn nữa, tôi thường thấy những người này phần nào còn giữ được cái vẻ dịu dàng tươi mát, dễ vui, những đặc điểm này cũng là di sản từ tuổi thơ vẫn còn giữ được.	Annál is inkább, mert rendszerint azt veszem észre, hogy az ilyen emberekben megmaradt bizonyos frisseség és kedvesség, s hogy minden csekélységben örömük telik; ez pedig mind oly örökség, a melyet gyermekkoruk idejéből őriztek meg.
Như tôi đã nói, khi quay nhìn lại cái thời thơ ấu mịt mờ, những hình ảnh đầu tiên tôi nhớ được, nổi bật ra khỏi mớ sự vật hỗn độn, đó là mẹ tôi, và chị Pécgôti.	Visszatekintve, a mint mondám, kora gyermekségem homályos távolába, először is két alak elevenedik meg emlékezetemben, élesen kiválva a dolgok zavaros tömkelegéből: az egyik anyám, a másik Peggotty.
Tôi còn nhớ gì nữa không?	Mire emlékszem még egyébre is?
Thử hồi tưởng xem.	Lássuk csak!
Giữa sân là cái chuồng bồ câu dựng trên một cái cột, trong chuồng không có mống bồ câu nào; một chuồng chó lớn ở một góc nhưng không có chó; và một đàn gà vịt (tôi thấy chúng cao lớn phát khiếp) đi tung tăng, có vẻ dễ sợ, hung tợn lắm.	A földszinten ott van Peggotty konyhája, a mely a hátulsó udvarra nyílik; az udvar közepén hosszú rúdon galambdúcz, galambok nélkül; az egyik sarokban nagy kutyaház, kutya nélkül; s egész sereg baromfi, – az én szememben mind megannyi szörnyű nagy teremtmény, – szaladgál dühösen, fenyegetően.
Còn những con ngỗng ở ngoài hàng rào, thì mỗi khi tôi đến đó chúng lại lạch bạch chạy theo, cổ vươn dài làm tôi ban đêm cũng nằm mơ thấy chúng, chẳng khác gì một người đã bị ác thú vây quanh vẫn nằm mơ thấy sư tử vây mình.	A libákról, kint a kis kapu előtt, a mint hosszú nyakukat nyujtogatva utánam tipegnek, valahányszor arra járok, éjszaka álmodom, úgy, mint a hogy’ oroszlánokról álmodik az, a kit fenevadak környékeznek.
Tôi thấy phòng này có vẻ buồn thảm thế nào ấy vì chị Pécgôti đã kể với tôi (tôi không nhớ là từ lúc nào, nhưng tôi có cảm tưởng như từ bao thế kỷ rồi) về chuyện đám tang cha tôi và chuyện những người mặc áo choàng đen, đến đó để đưa đám.	Van valami elszomorító rám nézve ebben a szobában, mert Peggotty – nem tudom, mikor, de bizonyára sok-sok esztendővel ezelőtt – elmondta, hogy édes atyámat innen temették és hogy a gyászolók mind fekete ruhában voltak.
Một buổi tối chủ nhật ở phòng ấy, mẹ tôi đọc cho chị Pécgôti và tôi nghe chuyện ông Ladarơ đã chết rồi được cứu sống lại.	Egy vasárnap este ott olvassa föl édes anyám nekem meg Peggottynak, hogy’ támadt föl Lázár halottaiból.
Tôi sợ quá, đến nỗi sau đó người ta phải bế tôi ra khỏi giường, chỉ cho tôi nhìn qua cửa sổ buồng ngủ thấy cái nghĩa địa tĩnh mịch ở đó những người chết đều yên nghỉ dưới mồ, dưới ánh trăng trang trọng.	És én úgy félek, hogy később kénytelenek kivenni az ágyamból, s megmutatni a hálószoba ablakából a csendes temetőt, a hol az ünnepies holdfényben nyugodtan pihennek a halottak sírjaikban.
Tôi không biết ở bất cứ đâu, có thể xanh tươi như bãi cỏ ở nghĩa địa này, râm mát như cây cối của nó, yên tĩnh như những tấm mộ chí ở đây.	A mennyire én tudom, nincs a világon sehol oly szép zöld fű, mint ebben a temetőben; sehol oly árnyas hely, mint ennek a fái alatt; sehol oly nyugalom, mint ennek a sírkövei között.
Chỗ tựa lưng của nó cao ơi là cao!	Közel hozzá ablak, a melyen át ide látszik a házunk.
Gần đấy là cửa sổ, nhìn qua cửa là thấy được nhà chúng tôi, và chị Pécgôti trong khi dự lễ buổi sớm, cứ chốc chốc lại liếc nhìn về nhà để có thể yên trí rằng không ai vào ăn trộm và không xảy ra cháy nhà.	És a reggeli istentisztelet alatt gyakran tekintget is feléje Peggotty, a ki szeret tőle telhetően megbizonyosodni róla, hogy sem rablók nem járnak benne, sem ki nem gyuladt.
Mắt chị Pécgôti cứ nhìn quanh nhìn quất, nhưng chị lại bực mình nếu mắt tôi cũng nhìn quanh nhìn quất như vậy, và chị cau mày lườm tôi trong khi tôi đứng trên ghế.	De Peggotty, bár az ő szeme ide-odajár, nagyon zokon veszi, ha az enyém is megteszi ezt, s homlokát ránczolva figyelmeztet, a mint ott állok a padban, hogy énnekem a papra kell néznem.
Chị ra hiệu cho tôi phải nhìn vào ông mục sư nhưng tôi không nhìn ông ấy mãi được; tôi đã biết ông ta, lúc ông không mang cái vật trắng trắng ở mình; và tôi sợ ông sẽ lấy làm lạ tại sao tôi cứ giương mắt ra mà nhìn như thế, và có thể dừng lễ lại để hỏi, và lúc đó thì tôi sẽ phải làm thế nào?	De mindig csak mégsem nézhetek rá, – aztán ismerem is, mikor nincs rajta az a fehér ruha, és félek, hogy még majd kíváncsi lesz, mért bámúlok úgy rá, és félbe találja szakítani az istentiszteletet, hogy megkérdezze – és akkor mit csináljak?
Ngáp là một điều rất xấu, nhưng tôi phải làm cái gì mới được chứ!	Rettentő dolog az ásítás is, de valamit csak kell tennem.
Tôi nhìn mẹ tôi, nhưng mẹ tôi vờ làm như không trông thấy tôi.	Anyámra tekintek; de úgy tesz, mintha észre sem venne.
Tôi nhìn thằng bé ở gian bên cạnh, thì nó nheo mắt lại, trêu tôi.	Egy fiúra pillantok a szárnyhajóban; de ez arczát fintorítja rám.
Tôi nhìn ánh nắng hắt qua cửa mở lọt vào cổng lớn và tôi thấy một "con chiên lạc đường" (tôi không nói "kẻ có tội" đâu, mà nói "con cừu non") đang do dự, không biết có nên vào nhà thờ không.	Elnézem a napsugarakat, a mint a nyitott ajtón át beszűrődnek az előcsarnokba, s egy tévelygő juhot veszek észre, – nem bűnös halandót, hanem birkát, – a mint már-már elszánja magát, hogy besétál a templomba.
Tôi cảm thấy nếu nhìn nó lâu thêm chút nữa, thì tôi phải nói to lên một lời gì, và lúc đó tôi sẽ ra sao?	Érzem, hogy ha még tovább is ránézek, könnyen megeshet, hogy el találom szólani magamat fönnhangon; s mi lenne akkor!
Tôi ngước nhìn những tấm bài vị trên tường, và cố nhớ đến ông Bốtgiơ đã qua đời ở địa phận này, cố đoán xem tình cảm của bà Bốtgiơ ra sao, khi ông Bốtgiơ phải kéo dài tình trạng bệnh hoạn đau đớn không sao tả xiết còn các thày thuốc đều chịu không chữa nổi.	Fölnézek a falon lévő emléktáblákra s próbálok Bodgers úrra gondolni, a község megboldogult tagjára, meg hogy mit érezhetett Bodgersné asszony, mikor "Bodgers úr szenvedett hosszú gyötrelmeket", s az orvosok nem tudtak rajta segíteni.
