Henryk Sienkiewicz	HENRYK SIENKIEWICZ
Công ti Cúc cung cấp cho họ lều trại, người phục vụ, lương thực dự trữ, lừa ngựa, lạc đà cùng người dẫn đường, nên du khách chẳng hề phải lo nghĩ chuyện gì cả.	Cook bocsátja rendelkezésükre a sátrakat, a cselédséget, a szakácsokat, az élelmiszer­készleteket, a lovakat, a szamarakat, a tevéket és a vezetőket is, úgyhogy az utazóknak semmiről sem kell gondoskodniuk.
Quả tình đó là một phương thức du lịch khá tốn kém, nhưng ông Tarcôpxki và ông Rôlixơn không cần phải quan tâm tới chuyện đó, vì mọi chi phí sẽ do chính phủ Ai Cập đài thọ, chính phủ này đã mời họ tới đánh giá và kiểm tra công việc tại vùng kênh, với tư cách là những chuyên gia giỏi.	Igaz, hogy ez a kényelem sok pénzbe kerül, de Tarkowskinak és Rawlisonnak ezzel nem kellett törődnie, mert az utazás költségeit az egyiptomi kormány fedezte, amely szakértőkként hívta meg őket a csatornázási munkálatok megvizsgálására és ellenőrzésére.
Cô bé Nen vốn thích cưỡi lạc đà hơn tất cả mọi chuyện khác trên đời, nên được cha hứa rằng sẽ được nhận riêng một con tuấn mã có bướu, trên đó cô bé sẽ cùng với cô Oliviơ, bà Đina, hoặc thỉnh thoảng cùng với Xtas, tham gia vào những chuyến đi chơi trong những vùng sa mạc lân cận và tới Carôun.	Nelnek legkedvesebb mulatsága volt a teveháton való nyar­galás, édesapja tehát megígérte neki, hogy külön púpos paripát kap, s Olivier kisasszonnyal vagy Dinahval, sőt néha Staśsal is teveháton vehet részt a sivatag belseje felé meg a Karun-tóhoz teendő rövidebb kirándulásokon.
Ông Tarcôpxki hứa với Xtas rằng sẽ cho phép em đi săn chó sói ban đêm, và nếu như em mang được chứng chỉ học tập giỏi từ trường về, thì sẽ được thưởng một khẩu súng săn Anh chính hiệu, cùng với mọi thứ đồ nghề cần thiết cho thợ săn.	Staśnak pedig Tarkowski úr megígérte, hogy egy-egy éjszaka elengedi farkasvadászatra, s - ha jó lesz a bizonyítványa - vesz neki egy igazi angol karabélyt és hozzá teljes vadászfelszerelést.
Vì Xtas hoàn toàn tin chắc vào kết quả học tập của bản thân, nên ngay lập tức em bắt đầu tự cho mình đã là chủ nhân của một khẩu súng săn và tự nhủ sẽ dùng khẩu súng ấy thực hiện biết bao kì công để đời đời được ghi nhớ.	Mivel Staś a bizonyítványt illetően biztos volt a dolgában, máris a fegyver boldog tulajdonosának érezte magát, s előre elképzelte, milyen világrengető vitézi tetteket fog ő majd azzal véghezvinni.
Với lũ trẻ đang vui mừng, bữa ăn trôi qua trong những dự kiến và những câu chuyện như vậy.	Ilyen beszédek és tervezgetések közepette telt el a boldog gyermekek ebédje.
Riêng cô Oliviơ tỏ ra tương đối ít nhiệt tình nhất với chuyến đi, bởi cô ngại phải rời xa cái biệt thự đầy đủ tiện nghi ở Port Xaiđơ này; cô kinh hoàng khi nghĩ tới chuyện sẽ phải sống hàng mấy tuần trong lều, và nhất là chuyện cưỡi lạc đà.	A tervezett utazásért Olivier kisasszony lelkesedett a legkevésbé, mert nem szívesen mozdult ki a Port Said-i kényelmes villából.
Cô đã được thưởng thức vài lần các chuyến đi kiểu ấy, điều mà bất cứ người dân châu u nào sống ở Ai Cập cũng đều làm thử vì tò mò.	Különben is megrémítette, hogy huzamosabb ideig sátorban kell laknia, de még inkább kétségbeejtette a teveháton való kirándulások terve.
Một lần khác, một chú lạc đà một bướu, hẳn không thuộc loại dễ khiến, đã lắc cô đến nỗi hai ngày sau cô vẫn chưa hoàn hồn.	Egyszer a teve túl korán tápászkodott fel, mielőtt ő jól elhelyezkedett volna a nyeregben, miért is szépen legurult a hátáról, máskor egy nehéz járású dromedár annyira összerázta, hogy két napig nem bírt magához térni.
Tóm lại, nếu như Nen, sau vài chuyến được ông Rôlixơn cho phép đi như thế, cam đoan rằng trên đời này không có gì sướng hơn là việc cưỡi lạc đà, thì cô Oliviơ lại chỉ nhớ toàn những ấn tượng khó chịu mà thôi.	Egyszóval, míg Nel néhány kirándulás után, amelyeken atyja engedelmével részt vehetett, kijelentette, hogy nincs nagyobb élvezet a világon a teveháton való nyargalásnál, Olivier kisasszonynak csak kellemetlen emlékei maradtak.
Cô bảo rằng chuyện đó có thể là tốt đối với người Ả Rập, hoặc đối với một "cái kẹo" bé bỏng như Nen, cô bé bị lắc chẳng đáng là bao, chẳng khác nào một chú ruồi đỗ lên bướu lạc đà, song chẳng thích hợp chút nào đối với những người có tuổi, chẳng nhẹ nhàng gì, mà lại có xu hướng dễ bị say sóng.	Az volt a véleménye, hogy ez az araboknak való vagy az olyan morzsányi teremtéseknek, mint Nel, akit a teve nem ráz össze jobban, mint a púpjára telepedő legyecskét, de nem való egy tekintélyes súlyú, komoly egyénnek, aki ráadásul nagyon is hajlamos a kiállhatatlan tengeri betegségre.
Còn nếu nói về Mêđinét En Phaium thì cô lại còn có thêm những lo lắng khác nữa.	Medinet el Faiyumot illetően azonban egyéb aggályai is voltak.
Ở Port Xaiđơ cũng như ở Alécxanđria, Cairô và trên toàn Ai Cập, người ta chẳng bàn tán gì khác hơn ngoài chuyện khởi loạn của Mahơđi và sự tàn ác của bọn phiến loạn.	Port Saidban ugyanis éppen úgy, mint Alexandriában, Kairóban és egész Egyiptomban egyébről sem beszéltek, mint a Mahdi-féle felkelésről.
Song ông chỉ mỉm cười và nói:	Az igazgató azonban mosolyogva felelte:
- Hiện nay Mahơđi đang bao vây thành phố Kháctum, trong đó tướng Goócđôn đang cố thủ.	- Mahdi jelenleg Kartúmot ostromolja, melyet Gordon tábornok védelmez.
Cô có biết Mêđinét cách Kháctum bao xa không?	Tudja, milyen messze van Kartúm Medinettől?
- Tôi chẳng có khái niệm gì về chuyện đó cả.	- Fogalmam sincs róla.
- Cũng xấp xỉ bằng từ đây tới đảo Xixin vậy, ông Tarcôpxki giải thích.	- Körülbelül, mint ide Szicília - világosította fel Tarkowski.
- Vâng, gần bằng.	- Körülbelül - bizonyította Staś is.
- Xtas khẳng định.	- Kartúm ott van, ahol a Fehér- és Kék-Nílus egyesül.
- Kháctumnằm tại điểm mà sông Nin Trắng và Xanh hoà vào nhau tạo thành một dòng chung.	Így hát Egyiptom óriási területe és egész Núbia választ el tőle.
Tiếp đó em còn muốn thêm rằng dù cho Mêđinét có nằm gần vùng khởi loạn đi chăng nữa, thì đã có em tại đó với khẩu súng của mình, nhưng em chợt nhớ lại rằ ng đã nhiều lần bị cha quở mắng vì những lời huênh hoang tương tự, nên vội nín lặng.	Hozzá akarta még tenni, hogy ha Medinet közelebb volna ahhoz a területhez, ahol a felkelés dúl, akkor is ott lesz ő, angol karabélyával, de eszébe jutott, hogy az efféle hencegésekért már többször kikapott édesapjától, tehát hirtelen elhallgatott.
Hai ông bố lại bắt đầu nói sang chuyện Mahơđi và cuộc khởi loạn, vì đó là vấn đề quan trọng bậc nhất có quan hệ tới Ai Cập.	Szüleik azonban Mahdiról és a felkelésről kezdtek beszélgetni, mert Egyiptomra nézve most ez volt a legfontosabb esemény.
Tin tức từ Kháctumđưa về rất xấu.	Kartúmból rossz hírek érkeztek.
Mãi đến bây giờ đạo viện binh giải vây mới vừa lên đườ ng, và người ta e rằng, mặc dù có áng vinh quang, lòng can trường và năng lực của tướng Goócđôn, song thành phố quan trọng này sẽ bị lọt vào tay bọn dã man mất.	A felmentő sereg éppen hogy csak útnak indult, attól tartottak tehát, hogy ez a rendkívül fontos város Gordon tábornok minden vitézsége ellenére is az ellenség kezébe kerül.
Ông Tarcôpxki cũng có ý kiến như thế, ông ngờ rằng, Anh quốc thầm mong sao Mahơđi chiếm lấy Xuđan của Ai Cập để rồi sau đó họ sẽ chiếm lại miền đất này từ tay Mahơđi, và biến miền đất mênh mông này thành tài sản nước Anh.	Ez volt Tarkowski véleménye is, aki bizonyos volt benne, hogy Anglia szándékosan játssza Szudánt a mahdisták kezére, hogy aztán tőlük elhódítva angol gyarmattá tehesse ezt az óriási országot.
Song ông không trao đổi với ông Rôlixơn những điều nghi ngờ ấy, vì không muốn xú c phạm đến những tình cảm ái quốc của bạn.	Rawlisonnal azonban nem közölte gyanúját, mert nem akarta megsérteni barátja hazafias érzelmeit.
Gần cuối bữa ăn, Xtas hỏi tại sao chính phủ Ai Cập lại chiếm cứ tất cả các nước nằm về phía NamNubia là Coócđôphan, Đácphua và Xuđan cho đến tận Anbéc Nianđa, và tước đoạt quyền tự do của dân cư những miền đất đó.	Az ebéd vége felé Staś firtatni kezdte, hogy miért foglalta el az egyiptomi kormány a Nílustól délre fekvő országokat, Kordofánt, Darfurt és Szudánt, egészen az Albert-Nyanzáig, s miért igázta le az ott lakó népeket.
- Chính phủ Ai Cập không tước đoạt tự do của bất cứ một ai cả, - ông nói, - mà ngược lại, còn mang lại tự do cho hàng trăm nghìn, thậm chí hàng triệu người.	- Az egyiptomi kormány nem fosztott meg ott senkit a szabadságától - kezdte a magyarázatot -, sőt ellenkezőleg, sok százezer vagy akár sok millió embernek visszaszerezte szabadságát.
Trong thời gian gần đây, ở Coócđôphan,ở Đácphua và Xuđan không có một quốc gia độc lập nào tồn tại cả.	Kordofánban, Darfurban és Szudánban az utóbbi időkben egyetlen független állam sem volt.
Chỉ thảng hoặc ở nơi này nơi nọ, một tiểu thủ lĩnh nào đó dùng bạo lực áp đặt chính quyền của mình sang một miền đất khác và chiếm đoạt vùng đất ấy, không thèm để ý tới nguyện vọng của các cư dân địa phương.	Alig egy-két helyen akadt egy-egy apró törzsfőnök, aki jogot formált bizonyos területhez, s azt meghódítva, lakosait szó nélkül leigázta.
Còn trên đại thể, những miền này quần tụ các bộ tộc độc lập của người Ả Rập pha da đen, nghĩa là những bộ tộc mang trong mình dòng máu của cả hai chủng người đó.	Ezeket a területeket többnyire független arab-néger törzsek lakták, vagyis olyanok, melyeknek vére e két fajtából keveredett.
Các bộ tộc này luôn luôn sống trong tình trạng chiến tranh liên miên.	E törzsek főnökei szüntelenül hadilábon álltak egymással.
Họ tấn công nhau, cướp của nhau ngựa,lạc đà, súc vật có sừng và trước hết là nô lệ.	Egymásra törtek, elhajtották egymás lovait, marháit, tevéit, de főképpen rabszolgákra vadásztak.
Đồng thời họ phạm không biết bao nhiêu điều tàn bạo.	Közben rengeteg kegyetlenséget követtek el.
Nhưng tệ hại nhất là bọn thương gia săn ngà voi và săn nô lệ.	A leg­gonoszabbak voltak az elefántcsontra és rabszolgákra vadászó kereskedők.
Chúng tiến hành những cuộc săn lùng có vũ trang vào sâu trong lục địa Phi châu, cướp đi ngà voi và bắt sống hàng nghìn người, cả đàn ông, đàn bà, trẻ con.	Valóságos hajtóvadászatokat rendeztek Afrika belsejébe, elefántagyarakat zsákmányol­tak, s ezrével fogdosták el az embereket: férfiakat, nőket és gyermekeket egyaránt.
Chúng triệt phá các làng mạ c và trại ấp, phá hoại đồng ruộng, khiến máu chảy thành sông và giết hại không thương tiếc tất cả những ai muốn chống cự lại.	Közben feldúlták a falvakat, pusztították a földeket és ültetvényeket, rengeteg ártatlan vért ontottak ki, s irgalom nélkül meggyilkoltak mindenkit, aki ellenállni merészelt.
Nhiều vùng ở miền nam Xuđan, Đácphua và Coócđôphan cũng như vùng thượng nguồn sông Nin cho tới tận hồ lớn, không còn một bóng người.	Szudán, Darfur és Kordofán déli vidékei, valamint a Felső-Nílus vidéke, el egészen a tavakig csaknem teljesen elnéptelenedtek.
Song bọn cướp Ả Rập này mỗi ngày tiến thêm một xa, đến nỗi cả vùng Trung Phi trở thành vùng đất của máu và nước mắt.	E bandák azonban egyre beljebb nyomultak, úgyhogy már egész Közép-Afrika földje könnytől és vértől ázott.
Anh quốc, như cháu biết, vốn săn đuổi bọn thương nhân buôn bán nô lệ trên toàn thế giới, bèn đồng ý để chính phủ Ai Cập chiếm Coócđôphan, Đácphua và Xuđan, đó là cách duy nhất buộc lũ cướp phải từ bỏ cuộc buôn bán bẩn thỉu ấy đi, là cách duy nhất để giữ chúng trong vòng kiềm toả.	Anglia tehát hozzájárult, hogy az egyiptomi kormány elfoglalja Szudánt, Darfurt és Kordofánt, mert ez volt az egyetlen módja annak, hogy e garáz­dálkodók felhagyjanak alávaló tetteikkel, s csakis így lehetett őket valamelyest megfékezni.
Những người da đen bất hạnh thở phào nhẹ nhõm, những cuộc tấn công ăn cướp lắng dần, và người ta bắt đầu được sống có luật lệ.	Ámde Mohamed Ahmed, aki most Mahdinak nevezi magát, szent háborút hirdetett azzal az ürüggyel, hogy Egyiptomban hanyatlóban van a tiszta mohamedán vallás.
Dĩ nhiên tình hình ấy khiến bọn lái buôn không thoả mãn.	Egy emberként fegyvert ragadtak valamennyien.
